=== DOM Traversal Log ===
Timestamp    : 2026-04-23 12:58:56
Algorithm    : BFS
CSS Selector : * (all elements)
Source       : URL: https://if-notes.naufarrel.dev
Max Depth    : 12

--- Traversal Steps ---
Step   | NodeID  | Tag                  | Depth | Action
----------------------------------------------------------
1      | 1       | html                 | 0     | MATCH ← CSS selector matched
2      | 2       | head                 | 1     | MATCH ← CSS selector matched
3      | 37      | body                 | 1     | MATCH ← CSS selector matched
4      | 438     | script               | 1     | MATCH ← CSS selector matched
5      | 440     | script               | 1     | MATCH ← CSS selector matched
6      | 442     | script               | 1     | MATCH ← CSS selector matched
7      | 443     | script               | 1     | MATCH ← CSS selector matched
8      | 3       | title                | 2     | MATCH ← CSS selector matched
9      | 5       | meta                 | 2     | MATCH ← CSS selector matched
10     | 6       | link                 | 2     | MATCH ← CSS selector matched
11     | 7       | link                 | 2     | MATCH ← CSS selector matched
12     | 8       | link                 | 2     | MATCH ← CSS selector matched
13     | 9       | link                 | 2     | MATCH ← CSS selector matched
14     | 10      | meta                 | 2     | MATCH ← CSS selector matched
15     | 11      | meta                 | 2     | MATCH ← CSS selector matched
16     | 12      | meta                 | 2     | MATCH ← CSS selector matched
17     | 13      | meta                 | 2     | MATCH ← CSS selector matched
18     | 14      | meta                 | 2     | MATCH ← CSS selector matched
19     | 15      | meta                 | 2     | MATCH ← CSS selector matched
20     | 16      | meta                 | 2     | MATCH ← CSS selector matched
21     | 17      | meta                 | 2     | MATCH ← CSS selector matched
22     | 18      | meta                 | 2     | MATCH ← CSS selector matched
23     | 19      | meta                 | 2     | MATCH ← CSS selector matched
24     | 20      | meta                 | 2     | MATCH ← CSS selector matched
25     | 21      | meta                 | 2     | MATCH ← CSS selector matched
26     | 22      | meta                 | 2     | MATCH ← CSS selector matched
27     | 23      | meta                 | 2     | MATCH ← CSS selector matched
28     | 24      | meta                 | 2     | MATCH ← CSS selector matched
29     | 25      | meta                 | 2     | MATCH ← CSS selector matched
30     | 26      | link                 | 2     | MATCH ← CSS selector matched
31     | 27      | meta                 | 2     | MATCH ← CSS selector matched
32     | 28      | meta                 | 2     | MATCH ← CSS selector matched
33     | 29      | link                 | 2     | MATCH ← CSS selector matched
34     | 30      | style                | 2     | MATCH ← CSS selector matched
35     | 32      | link                 | 2     | MATCH ← CSS selector matched
36     | 33      | script               | 2     | MATCH ← CSS selector matched
37     | 34      | script               | 2     | MATCH ← CSS selector matched
38     | 36      | link                 | 2     | MATCH ← CSS selector matched
39     | 38      | div                  | 2     | MATCH ← CSS selector matched
40     | 437     | script               | 2     | MATCH ← CSS selector matched
41     | 439     | #text                | 2     | MATCH ← CSS selector matched
42     | 441     | #text                | 2     | MATCH ← CSS selector matched
43     | 4       | #text                | 3     | MATCH ← CSS selector matched
44     | 31      | #text                | 3     | MATCH ← CSS selector matched
45     | 35      | #text                | 3     | MATCH ← CSS selector matched
46     | 39      | div                  | 3     | MATCH ← CSS selector matched
47     | 40      | div                  | 4     | MATCH ← CSS selector matched
48     | 105     | div                  | 4     | MATCH ← CSS selector matched
49     | 292     | div                  | 4     | MATCH ← CSS selector matched
50     | 424     | footer               | 4     | MATCH ← CSS selector matched
51     | 41      | h2                   | 5     | MATCH ← CSS selector matched
52     | 44      | div                  | 5     | MATCH ← CSS selector matched
53     | 45      | div                  | 5     | MATCH ← CSS selector matched
54     | 78      | div                  | 5     | MATCH ← CSS selector matched
55     | 106     | div                  | 5     | MATCH ← CSS selector matched
56     | 115     | article              | 5     | MATCH ← CSS selector matched
57     | 290     | hr                   | 5     | MATCH ← CSS selector matched
58     | 291     | div                  | 5     | MATCH ← CSS selector matched
59     | 293     | div                  | 5     | MATCH ← CSS selector matched
60     | 303     | div                  | 5     | MATCH ← CSS selector matched
61     | 332     | div                  | 5     | MATCH ← CSS selector matched
62     | 425     | p                    | 5     | MATCH ← CSS selector matched
63     | 430     | ul                   | 5     | MATCH ← CSS selector matched
64     | 42      | a                    | 6     | MATCH ← CSS selector matched
65     | 46      | div                  | 6     | MATCH ← CSS selector matched
66     | 61      | div                  | 6     | MATCH ← CSS selector matched
67     | 71      | div                  | 6     | MATCH ← CSS selector matched
68     | 79      | button               | 6     | MATCH ← CSS selector matched
69     | 84      | button               | 6     | MATCH ← CSS selector matched
70     | 89      | div                  | 6     | MATCH ← CSS selector matched
71     | 92      | template             | 6     | MATCH ← CSS selector matched
72     | 95      | template             | 6     | MATCH ← CSS selector matched
73     | 107     | div                  | 6     | MATCH ← CSS selector matched
74     | 116     | h1                   | 6     | MATCH ← CSS selector matched
75     | 122     | blockquote           | 6     | MATCH ← CSS selector matched
76     | 138     | blockquote           | 6     | MATCH ← CSS selector matched
77     | 149     | p                    | 6     | MATCH ← CSS selector matched
78     | 151     | ul                   | 6     | MATCH ← CSS selector matched
