=== DOM Traversal Log ===
Timestamp    : 2026-04-23 14:00:17
Algorithm    : BFS
CSS Selector : h1
Source       : URL: https://if-notes.naufarrel.dev
Max Depth    : 12

--- Traversal Steps ---
Step   | NodeID  | Tag                  | Depth | Action
----------------------------------------------------------
1      | 1       | html                 | 0     | VISIT
2      | 2       | head                 | 1     | VISIT
3      | 37      | body                 | 1     | VISIT
4      | 438     | script               | 1     | VISIT
5      | 440     | script               | 1     | VISIT
6      | 442     | script               | 1     | VISIT
7      | 443     | script               | 1     | VISIT
8      | 3       | title                | 2     | VISIT
9      | 5       | meta                 | 2     | VISIT
10     | 6       | link                 | 2     | VISIT
11     | 7       | link                 | 2     | VISIT
12     | 8       | link                 | 2     | VISIT
13     | 9       | link                 | 2     | VISIT
14     | 10      | meta                 | 2     | VISIT
15     | 11      | meta                 | 2     | VISIT
16     | 12      | meta                 | 2     | VISIT
17     | 13      | meta                 | 2     | VISIT
18     | 14      | meta                 | 2     | VISIT
19     | 15      | meta                 | 2     | VISIT
20     | 16      | meta                 | 2     | VISIT
21     | 17      | meta                 | 2     | VISIT
22     | 18      | meta                 | 2     | VISIT
23     | 19      | meta                 | 2     | VISIT
24     | 20      | meta                 | 2     | VISIT
25     | 21      | meta                 | 2     | VISIT
26     | 22      | meta                 | 2     | VISIT
27     | 23      | meta                 | 2     | VISIT
28     | 24      | meta                 | 2     | VISIT
29     | 25      | meta                 | 2     | VISIT
30     | 26      | link                 | 2     | VISIT
31     | 27      | meta                 | 2     | VISIT
32     | 28      | meta                 | 2     | VISIT
33     | 29      | link                 | 2     | VISIT
34     | 30      | style                | 2     | VISIT
35     | 32      | link                 | 2     | VISIT
36     | 33      | script               | 2     | VISIT
37     | 34      | script               | 2     | VISIT
38     | 36      | link                 | 2     | VISIT
39     | 38      | div                  | 2     | VISIT
40     | 437     | script               | 2     | VISIT
41     | 439     | #text                | 2     | VISIT
42     | 441     | #text                | 2     | VISIT
43     | 4       | #text                | 3     | VISIT
44     | 31      | #text                | 3     | VISIT
45     | 35      | #text                | 3     | VISIT
46     | 39      | div                  | 3     | VISIT
47     | 40      | div                  | 4     | VISIT
48     | 105     | div                  | 4     | VISIT
49     | 292     | div                  | 4     | VISIT
50     | 424     | footer               | 4     | VISIT
51     | 41      | h2                   | 5     | VISIT
52     | 44      | div                  | 5     | VISIT
53     | 45      | div                  | 5     | VISIT
54     | 78      | div                  | 5     | VISIT
55     | 106     | div                  | 5     | VISIT
56     | 115     | article              | 5     | VISIT
57     | 290     | hr                   | 5     | VISIT
58     | 291     | div                  | 5     | VISIT
59     | 293     | div                  | 5     | VISIT
60     | 303     | div                  | 5     | VISIT
61     | 332     | div                  | 5     | VISIT
62     | 425     | p                    | 5     | VISIT
63     | 430     | ul                   | 5     | VISIT
64     | 42      | a                    | 6     | VISIT
65     | 46      | div                  | 6     | VISIT
66     | 61      | div                  | 6     | VISIT
67     | 71      | div                  | 6     | VISIT
68     | 79      | button               | 6     | VISIT
69     | 84      | button               | 6     | VISIT
70     | 89      | div                  | 6     | VISIT
71     | 92      | template             | 6     | VISIT
72     | 95      | template             | 6     | VISIT
73     | 107     | div                  | 6     | VISIT
74     | 116     | h1                   | 6     | MATCH ← CSS selector matched
75     | 122     | blockquote           | 6     | VISIT
76     | 138     | blockquote           | 6     | VISIT
77     | 149     | p                    | 6     | VISIT
78     | 151     | ul                   | 6     | VISIT
79     | 294     | h3                   | 6     | VISIT
80     | 296     | div                  | 6     | VISIT
81     | 301     | div                  | 6     | VISIT
82     | 304     | button               | 6     | VISIT
83     | 309     | ul                   | 6     | VISIT
84     | 333     | h3                   | 6     | VISIT
85     | 335     | ul                   | 6     | VISIT
86     | 426     | #text                | 6     | VISIT
87     | 427     | a                    | 6     | VISIT
88     | 429     | #text                | 6     | VISIT
89     | 431     | li                   | 6     | VISIT
90     | 434     | li                   | 6     | VISIT
91     | 43      | #text                | 7     | VISIT
